step,time,mode,p_pv_kw,p_load_kw,p_ev_kw,batt_state,batt_kw,soc_batt_pct,sc_state,sc_kw,soc_sc_pct,grid_kw,export_kw,net_grid_kw,peak_shave_kw,ev_alert,evening,voltage_violation,transformer_loading_pct,self_sufficiency_pct,bess_charged_kwh_cum,bess_discharged_kwh_cum,ev_energy_kwh_cum,pv_total_kwh_cum,grid_import_kwh_cum,co2_saved_kg_step,co2_saved_kg_cum,v_mainbus_pu,v_panelbus_pu,v_mechworkshopbus_pu,v_hostelfbus_pu,v_guesthousebus_pu,v_auditoriumbus_pu,v_librarybus_pu,v_civildeptbus_pu,v_mechdeptbus_pu,v_elecdeptbus_pu,v_ltdbus_pu,v_hostelcbus_pu,v_hosteldbus_pu,v_gymbus_pu,v_evbus_pu,v_lecturetheatrebus_pu,v_adminbus_pu,v_pumphousebus_pu,v_securitybus_pu,v_uppercanteenbus_pu,v_lowercanteenbus_pu,v_boyshostelbbus_pu,v_hostelblockbus_pu
34,08:30,NORMAL,1235.95,177.05,0.0,CHARGING,100.0,63.13,IDLING,-0.0,15.0,0.0,958.9,-958.9,0.0,,,,17.71,100.0,277.18,0.0,0.0,1767.44,485.75,222.471,1272.56,1.0,1.0,1.0124,1.0127,1.0052,1.0401,1.0189,1.0061,1.0222,1.0106,1.0,1.0385,1.0382,1.0,1.0,1.0123,1.0118,1.0,0.9999,1.0053,1.0107,1.0064,1.0035
35,08:45,NORMAL,1347.27,183.83,0.0,CHARGING,100.0,66.75,IDLING,-0.0,15.0,0.0,1063.44,-1063.44,0.0,,,,18.38,100.0,302.18,0.0,0.0,2104.26,485.75,242.509,1515.07,1.0,1.0,1.0135,1.0138,1.0057,1.0437,1.0207,1.0066,1.0242,1.0116,1.0,1.0419,1.0416,1.0,1.0,1.0134,1.0129,1.0,0.9999,1.0058,1.0117,1.007,1.0038
36,09:00,NORMAL,1458.41,193.79,14.2,CHARGING,100.0,70.37,IDLING,-0.0,15.0,0.0,1150.42,-1150.42,0.0,,,,20.8,100.0,327.18,0.0,3.55,2468.86,485.75,262.513,1777.58,1.0,1.0,1.0146,1.0149,1.0062,1.0473,1.0224,1.0071,1.0262,1.0126,1.0,1.0454,1.0451,1.0,0.9969,1.0145,1.0139,1.0,0.9999,1.0062,1.0126,1.0076,1.0041
37,09:15,NORMAL,1527.34,200.67,14.2,CHARGING,100.0,73.99,IDLING,-0.0,15.0,0.0,1212.47,-1212.47,0.0,,,,21.49,100.0,352.18,0.0,7.1,2850.69,485.75,274.92,2052.5,1.0,1.0,1.0153,1.0156,1.0065,1.0495,1.0234,1.0075,1.0274,1.0133,1.0,1.0475,1.0472,1.0,0.9969,1.0152,1.0146,1.0,0.9999,1.0065,1.0132,1.008,1.0043
38,09:30,NORMAL,1596.27,204.61,14.2,CHARGING,100.0,77.61,IDLING,-0.0,15.0,0.0,1277.46,-1277.46,0.0,,,,21.88,100.0,377.18,0.0,10.65,3249.76,485.75,287.328,2339.83,1.0,1.0,1.016,1.0163,1.0067,1.0517,1.0245,1.0078,1.0287,1.0139,1.0,1.0497,1.0493,1.0,0.9969,1.0158,1.0152,1.0,0.9999,1.0068,1.0138,1.0083,1.0045
39,09:45,NORMAL,1665.01,209.48,14.2,CHARGING,100.0,81.23,IDLING,-0.0,15.0,0.0,1341.33,-1341.33,0.0,,,,22.37,100.0,402.18,0.0,14.2,3666.01,485.75,299.702,2639.53,1.0,1.0,1.0167,1.017,1.007,1.054,1.0255,1.0082,1.0299,1.0146,1.0,1.0518,1.0514,1.0,0.9969,1.0165,1.0159,1.0,0.9999,1.0071,1.0144,1.0087,1.0047
40,10:00,NORMAL,1733.94,211.25,24.8,CHARGING,100.0,84.85,IDLING,-0.0,15.0,0.0,1397.89,-1397.89,0.0,,,,23.61,100.0,427.18,0.0,20.4,4099.5,485.75,312.109,2951.64,1.0,1.0,1.0174,1.0178,1.0073,1.0562,1.0266,1.0085,1.0312,1.0152,1.0,1.054,1.0536,1.0,0.9969,1.0172,1.0165,1.0,0.9999,1.0074,1.015,1.009,1.0049
41,10:15,NORMAL,1756.98,214.98,24.8,CHARGING,100.0,88.47,IDLING,-0.0,15.0,0.0,1417.2,-1417.2,0.0,,,,23.98,100.0,452.18,0.0,26.6,4538.74,485.75,316.256,3267.89,1.0,1.0,1.0177,1.018,1.0074,1.057,1.0269,1.0086,1.0316,1.0155,1.0,1.0547,1.0543,1.0,0.9969,1.0174,1.0168,1.0,0.9999,1.0075,1.0152,1.0092,1.005
42,10:30,NORMAL,1780.2,219.06,24.8,CHARGING,100.0,90.0,IDLING,-0.0,15.0,0.0,1436.34,-1436.34,0.0,,,,24.39,100.0,477.18,0.0,32.8,4983.79,485.75,320.436,3588.33,1.0,1.0,1.0179,1.0182,1.0075,1.0577,1.0273,1.0087,1.032,1.0157,1.0,1.0554,1.055,1.0,0.9969,1.0177,1.017,1.0,0.9999,1.0076,1.0154,1.0093,1.0051
43,10:45,NORMAL,1803.42,220.92,24.8,IDLING,0.0,90.0,IDLING,-0.0,15.0,0.0,1557.7,-1557.7,0.0,,,,24.57,100.0,477.18,0.0,39.0,5434.65,485.75,324.616,3912.95,1.0,1.0,1.0181,1.0185,1.0076,1.0585,1.0276,1.0088,1.0324,1.0159,1.0,1.0561,1.0557,1.0,0.9969,1.0179,1.0172,1.0,0.9999,1.0077,1.0156,1.0094,1.0051
